World_Tertiary Enrolment (F),World_Tertiary Enrolment (M),World_Secondary Enrolment (M),World_Secondary Enrolment (F),World_Primary Enrolment (F),World_Primary Enrolment (M),World_Birth Rate,World_Death Rate,World_GDP per Capita,World_Natural Growth Rate,World_Median Age,World_Total Population
10.23,14.18,47.95,38.93,75.82,81.6,3.73,10.35,2587.77,1.79,21.5,4442348279.0
10.64,14.25,48.41,39.63,75.46,82.38,3.71,10.2,2621.86,1.81,21.6,4520917350.0
11.06,14.31,48.86,40.33,75.1,83.16,3.72,10.12,2538.52,1.84,21.7,4602701335.0
11.47,14.37,49.32,41.03,74.74,83.94,3.59,10.17,2561.57,1.77,21.8,4684875627.0
11.88,14.43,49.77,41.73,74.38,84.72,3.57,10.04,2614.18,1.78,21.9,4766640881.0
12.29,14.5,50.23,42.43,74.02,85.5,3.53,9.92,2675.66,1.78,22.0,4850076923.0
12.15,14.43,50.68,43.13,75.28,85.8,3.52,9.73,3109.56,1.82,22.2,4936006502.0
12.27,14.52,51.14,43.83,75.79,85.92,3.49,9.56,3493.23,1.82,22.4,5024289346.0
12.29,14.25,51.59,44.54,76.6,86.44,3.4,9.53,3841.11,1.77,22.6,5113387878.0
12.48,14.31,52.05,45.24,77.56,86.84,3.35,9.3,3927.77,1.76,22.8,5202582534.0
12.81,14.4,52.5,45.94,77.25,86.48,3.31,9.26,4332.77,1.75,23.0,5293395467.0
13.06,14.51,52.96,46.64,77.75,86.58,3.12,9.22,4446.32,1.62,23.1,5382536929.0
13.44,14.63,53.41,47.34,77.65,86.23,3.04,9.14,4684.3,1.56,23.4,5470164577.0
13.9,14.92,53.86,48.04,77.99,86.0,2.97,9.14,4721.41,1.5,23.6,5556623321.0
14.45,15.43,54.32,48.74,78.25,85.74,2.92,9.11,4962.3,1.46,23.8,5642046034.0
15.12,15.94,54.77,49.44,77.98,85.28,2.86,8.99,5443.84,1.43,24.1,5726736488.0
15.7,16.51,55.23,50.14,77.91,84.8,2.81,8.89,5489.0,1.4,24.3,5811580202.0
16.57,17.18,55.68,50.84,78.14,84.65,2.77,8.76,5393.03,1.37,24.5,5896055962.0
17.1,17.56,56.14,51.54,78.89,85.04,2.74,8.7,5309.37,1.34,24.8,5979726559.0
18.28,18.5,56.27,51.83,79.9,85.43,2.71,8.59,5407.95,1.32,25.0,6062288850.0
19.0,19.11,57.05,52.72,80.68,85.9,2.72,8.49,5517.12,1.33,25.2,6144321462.0
20.3,20.28,57.39,53.61,81.01,86.06,2.68,8.42,5410.75,1.31,25.5,6226348086.0
21.92,21.4,57.67,54.37,81.4,86.12,2.65,8.36,5545.61,1.29,25.7,6308140970.0
23.11,22.51,58.27,55.56,83.54,86.63,2.63,8.3,6138.11,1.27,25.9,6389462496.0
24.1,23.24,58.99,56.58,84.72,87.52,2.62,8.2,6829.85,1.27,26.1,6470924346.0
24.91,23.75,59.49,57.45,85.44,88.05,2.6,8.15,7303.74,1.26,26.3,6552700448.0
25.98,24.38,60.03,58.15,86.01,88.33,2.6,8.07,7816.39,1.26,26.5,6635110367.0
26.93,25.16,60.97,59.16,87.16,89.64,2.59,8.04,8700.59,1.27,26.7,6717567584.0
28.05,26.09,61.61,60.02,87.62,89.63,2.59,8.04,9443.24,1.26,26.9,6801440971.0
29.19,27.11,61.87,60.71,87.85,89.35,2.58,7.92,8842.43,1.27,27.1,6885663352.0
30.49,28.35,62.97,62.1,87.88,89.33,2.55,7.87,9570.62,1.25,27.3,6969985525.0
32.32,30.09,63.78,63.28,88.07,89.2,2.53,7.79,10485.49,1.24,27.6,7054044372.0
33.99,31.09,63.76,63.84,88.19,89.76,2.55,7.73,10587.94,1.25,27.8,7141386257.0
35.13,31.74,64.96,64.83,88.2,89.74,2.51,7.66,10749.96,1.22,28.0,7229303088.0
37.73,33.84,65.63,65.67,88.33,90.06,2.51,7.58,10911.13,1.21,28.2,7317040295.0
38.93,34.89,65.67,65.77,88.17,90.1,2.48,7.57,10168.12,1.17,28.5,7403850164.0
39.7,35.31,65.81,65.85,88.34,90.43,2.48,7.51,10215.59,1.16,28.7,7490415449.0
40.19,35.56,66.13,66.27,88.17,90.28,2.46,7.5,10754.93,1.13,28.9,7576441961.0
40.83,35.8,66.28,66.27,88.22,90.53,2.4,7.49,11297.45,1.07,29.2,7660371127.0
42.15,36.49,66.28,66.27,88.22,90.53,2.36,7.47,11338.15,1.03,29.5,7741774583.0
43.42,37.41,66.28,66.27,88.22,90.53,2.3,8.03,10904.15,0.92,29.7,7820205606.0
43.42,37.41,66.28,66.27,88.22,90.53,2.27,8.72,12316.1,0.82,30.0,7888305693.0
